Date,Store ID,Product ID,Nivel Inventario,Unidades Vendidas,Temporada,Demanda Historica,Demanda Modelo,Residuo Modelo,Error Absoluto Modelo,Error Cuadratico Modelo,agotamiento_real,agotamiento_modelo,Residuo Historico,Error Absoluto Historico,Error Cuadratico Historico,agotamiento_historico
2022-01-01,S005,P0001,111,77,Winter,83.47,75.62,1.38,1.38,1.9,False,False,-6.47,6.47,41.86,False
2022-01-02,S005,P0001,223,67,Winter,74.8,70.3,-3.3,3.3,10.89,False,False,-7.8,7.8,60.84,False
2022-01-03,S005,P0001,159,3,Winter,18.12,13.73,-10.73,10.73,115.15,False,False,-15.12,15.12,228.61,False
2022-01-04,S005,P0001,383,195,Winter,214.04,209.67,-14.67,14.67,215.08,False,False,-19.04,19.04,362.52,False
2022-01-05,S005,P0001,371,74,Spring,93.27,87.72,-13.72,13.72,188.11,False,False,-19.27,19.27,371.33,False
2022-01-06,S005,P0001,333,195,Autumn,213.22,208.56,-13.56,13.56,183.99,False,False,-18.22,18.22,331.97,False
2022-01-07,S005,P0001,227,97,Spring,97.73,92.77,4.23,4.23,17.87,False,False,-0.73,0.73,0.53,False
2022-01-08,S005,P0001,107,53,Summer,62.9,58.33,-5.33,5.33,28.45,False,False,-9.9,9.9,98.01,False
2022-01-09,S005,P0001,412,408,Winter,407.25,399.55,8.45,8.45,71.49,False,False,0.75,0.75,0.56,False
2022-01-10,S005,P0001,101,23,Summer,18.75,15.49,7.51,7.51,56.38,False,False,4.25,4.25,18.06,False
2022-01-11,S005,P0001,208,204,Autumn,202.45,193.81,10.19,10.19,103.8,False,False,1.55,1.55,2.4,False
2022-01-12,S005,P0001,132,6,Spring,-2.04,3.51,2.49,2.49,6.19,False,False,8.04,8.04,64.64,False
2022-01-13,S005,P0001,215,63,Summer,66.91,61.63,1.37,1.37,1.87,False,False,-3.91,3.91,15.29,False
2022-01-14,S005,P0001,65,63,Spring,62.67,55.69,7.31,7.31,53.48,False,False,0.33,0.33,0.11,False
2022-01-15,S005,P0001,409,120,Winter,131.74,126.11,-6.11,6.11,37.3,False,False,-11.74,11.74,137.83,False
2022-01-16,S005,P0001,403,142,Winter,144.08,138.36,3.64,3.64,13.25,False,False,-2.08,2.08,4.33,False
2022-01-17,S005,P0001,369,181,Spring,199.99,193.4,-12.4,12.4,153.75,False,False,-18.99,18.99,360.62,False
2022-01-18,S005,P0001,186,40,Autumn,41.06,35.88,4.12,4.12,16.98,False,False,-1.06,1.06,1.12,False
2022-01-19,S005,P0001,191,186,Spring,196.11,186.68,-0.68,0.68,0.46,False,False,-10.11,10.11,102.21,True
2022-01-20,S005,P0001,422,85,Autumn,86.81,83.19,1.81,1.81,3.27,False,False,-1.81,1.81,3.28,False
2022-01-21,S005,P0001,283,33,Winter,34.74,29.11,3.89,3.89,15.13,False,False,-1.74,1.74,3.03,False
2022-01-22,S005,P0001,213,82,Autumn,94.63,88.17,-6.17,6.17,38.1,False,False,-12.63,12.63,159.52,False
2022-01-23,S005,P0001,353,243,Summer,254.57,249.86,-6.86,6.86,47.06,False,False,-11.57,11.57,133.86,False
2022-01-24,S005,P0001,113,90,Spring,89.35,82.77,7.23,7.23,52.25,False,False,0.65,0.65,0.42,False
2022-01-25,S005,P0001,97,15,Spring,5.87,8.05,6.95,6.95,48.31,False,False,9.13,9.13,83.36,False
2022-01-26,S005,P0001,307,69,Autumn,59.29,54.46,14.54,14.54,211.43,False,False,9.71,9.71,94.28,False
2022-01-27,S005,P0001,363,161,Spring,174.27,169.38,-8.38,8.38,70.28,False,False,-13.27,13.27,176.09,False
2022-01-28,S005,P0001,223,164,Spring,166.82,163.13,0.87,0.87,0.76,False,False,-2.82,2.82,7.95,False
2022-01-29,S005,P0001,456,40,Autumn,53.65,47.58,-7.58,7.58,57.52,False,False,-13.65,13.65,186.32,False
2022-01-30,S005,P0001,111,86,Autumn,99.08,91.14,-5.14,5.14,26.38,False,False,-13.08,13.08,171.09,False
2022-01-31,S005,P0001,472,290,Spring,298.53,291.32,-1.32,1.32,1.74,False,False,-8.53,8.53,72.76,False
2022-02-01,S005,P0001,160,139,Spring,136.55,131.9,7.1,7.1,50.35,False,False,2.45,2.45,6.0,False
2022-02-02,S005,P0001,57,49,Winter,50.27,43.1,5.9,5.9,34.85,False,False,-1.27,1.27,1.61,False
2022-02-03,S005,P0001,203,195,Spring,197.29,188.02,6.98,6.98,48.68,False,False,-2.29,2.29,5.24,False
2022-02-04,S005,P0001,191,173,Autumn,172.33,166.44,6.56,6.56,43.01,False,False,0.67,0.67,0.45,False
2022-02-05,S005,P0001,63,10,Summer,12.47,10.2,-0.2,0.2,0.04,False,False,-2.47,2.47,6.1,False
2022-02-06,S005,P0001,352,339,Autumn,337.65,331.55,7.45,7.45,55.49,False,False,1.35,1.35,1.82,False
2022-02-07,S005,P0001,92,9,Summer,14.67,11.69,-2.69,2.69,7.22,False,False,-5.67,5.67,32.15,False
2022-02-08,S005,P0001,114,109,Autumn,115.07,104.66,4.34,4.34,18.8,False,False,-6.07,6.07,36.84,True
2022-02-09,S005,P0001,276,150,Summer,147.46,143.62,6.38,6.38,40.69,False,False,2.54,2.54,6.45,False
2022-02-10,S005,P0001,266,133,Spring,151.71,147.24,-14.24,14.24,202.71,False,False,-18.71,18.71,350.06,False
2022-02-11,S005,P0001,62,13,Winter,25.36,19.79,-6.79,6.79,46.16,False,False,-12.36,12.36,152.77,False
2022-02-12,S005,P0001,275,92,Spring,105.7,100.64,-8.64,8.64,74.65,False,False,-13.7,13.7,187.69,False
2022-02-13,S005,P0001,99,5,Spring,24.36,20.85,-15.85,15.85,251.25,False,False,-19.36,19.36,374.81,False
2022-02-14,S005,P0001,135,104,Summer,100.12,93.32,10.68,10.68,114.11,False,False,3.88,3.88,15.05,False
2022-02-15,S005,P0001,264,113,Autumn,122.68,119.77,-6.77,6.77,45.84,False,False,-9.68,9.68,93.7,False
2022-02-16,S005,P0001,99,58,Autumn,74.71,69.0,-11.0,11.0,121.05,False,False,-16.71,16.71,279.22,False
2022-02-17,S005,P0001,120,11,Autumn,10.28,9.94,1.06,1.06,1.13,False,False,0.72,0.72,0.52,False
2022-02-18,S005,P0001,307,300,Summer,310.29,298.49,1.51,1.51,2.29,False,False,-10.29,10.29,105.88,True
2022-02-19,S005,P0001,119,17,Winter,9.06,10.11,6.89,6.89,47.44,False,False,7.94,7.94,63.04,False
2022-02-20,S005,P0001,154,1,Autumn,12.79,11.38,-10.38,10.38,107.73,False,False,-11.79,11.79,139.0,False
